"doctor","hospital","patient_count","medical_condition_count","total_billing_amount","average_billing_amount","average_patient_age","average_length_of_stay","first_admission_date","latest_admission_date"
Aaron Cunningham,"and Parker Austin, Perez",1,1,33458.10,33458.12,24,22,2020-08-02,2020-08-02
Aaron Curtis,Lopez-Rivera,1,1,43470.40,43470.37,80,9,2021-11-25,2021-11-25
Aaron Curtis,Mayo-Bishop,1,1,43535.90,43535.92,39,17,2022-12-11,2022-12-11
Aaron David,Garcia-Lopez,1,1,41575.20,41575.24,58,10,2023-08-10,2023-08-10
Aaron David,Sims-Johnson,1,1,49082.20,49082.22,85,26,2020-05-30,2020-05-30
Aaron Davila,Simmons-Taylor,1,1,21902.80,21902.80,20,21,2019-09-10,2019-09-10
Aaron Dennis,Johnson LLC,1,1,40217.40,40217.37,64,9,2020-05-09,2020-05-09
Aaron Dickson,Jimenez PLC,1,1,33886.30,33886.27,76,21,2020-11-03,2020-11-03
Aaron Edwards,Miller-Lee,1,1,31094.70,31094.72,41,1,2021-05-30,2021-05-30
Aaron Esparza,Clark Inc,1,1,41655.80,41655.82,23,3,2023-06-10,2023-06-10
Aaron Flores,Rivera Group,1,1,26935.90,26935.86,66,20,2022-08-25,2022-08-25
Aaron Foster,"and Flores Swanson, Wagner",1,1,23905.30,23905.28,29,14,2024-04-11,2024-04-11
Aaron Fox,"Clark, and Cobb Parsons",1,1,15289.20,15289.19,61,4,2019-05-18,2019-05-18
Aaron Garcia,Brown-Bell,1,1,35305.60,35305.65,31,2,2022-07-05,2022-07-05
Aaron Garcia,Group Nelson,1,1,17456.60,17456.56,22,10,2019-08-31,2019-08-31
Aaron Glover,Green-Lloyd,1,1,1651.31,1651.31,46,24,2022-01-29,2022-01-29
Aaron Gomez,"Rose Anderson, and Moore",1,1,8372.85,8372.85,84,17,2019-06-11,2019-06-11
Aaron Greer,Lee-Hernandez,2,1,92403.90,46201.93,67,30,2022-12-08,2022-12-08
Aaron Gregory,LLC Woodward,2,1,50210.70,25105.36,74,11,2019-12-07,2019-12-07
Aaron Griffin,Hill Sons and,1,1,46267.80,46267.77,53,9,2021-11-06,2021-11-06
Aaron Grimes,Garrison Sons and,1,1,49269.40,49269.41,82,24,2023-12-08,2023-12-08
Aaron Hansen,Alexander-Moore,1,1,42043.20,42043.21,69,12,2023-12-19,2023-12-19
Aaron Hanson,"Wheeler Rocha and Hicks,",1,1,36246.50,36246.53,48,5,2023-08-29,2023-08-29
Aaron Hardy PhD,"Huang Greene Myers, and",1,1,15362.60,15362.63,69,18,2022-01-18,2022-01-18
Aaron Harper,Lindsey-Matthews,1,1,1620.13,1620.13,37,25,2019-10-31,2019-10-31
Aaron Harris,Parker-Stewart,1,1,6597.16,6597.16,23,22,2020-08-20,2020-08-20
Aaron Harrison,Wright Group,1,1,13661.10,13661.13,34,25,2020-12-21,2020-12-21
Aaron Hernandez,Ruiz-Rivera,1,1,36514.50,36514.54,45,20,2021-11-21,2021-11-21
Aaron Hernandez,Taylor-Nelson,1,1,24668.20,24668.20,64,12,2024-05-05,2024-05-05
Aaron Herrera,"Collins Stout and King,",1,1,8993.42,8993.42,85,1,2020-06-20,2020-06-20
Aaron Herrera,"Smith, and Thomas Johnson",1,1,24559.30,24559.33,66,7,2024-03-16,2024-03-16
Aaron Higgins,King Ltd,1,1,19013.70,19013.69,20,22,2022-06-06,2022-06-06
Aaron Hill,Burke Group,1,1,26205.70,26205.68,51,9,2023-05-19,2023-05-19
Aaron Hill,"Lee Collier, and Browning",1,1,40917.20,40917.20,33,18,2020-07-03,2020-07-03
Aaron Hudson,"Jackson Collins Thomas, and",1,1,8816.81,8816.81,27,30,2022-12-25,2022-12-25
Aaron Hunter,"Lara and Parker, Dunn",2,1,65820.30,32910.17,50,1,2020-07-26,2020-07-26
Aaron Jacobs,Hernandez-Prince,1,1,6824.12,6824.12,35,8,2023-12-14,2023-12-14
Aaron Johnson,"Aguilar Adams, and Morrison",1,1,49348.80,49348.81,68,29,2021-08-03,2021-08-03
Aaron Johnson,"Patton and Mclaughlin, Barr",2,1,9960.78,4980.39,23,24,2020-01-26,2020-01-26
Aaron Johnston,Hill-Hill,1,1,35661.80,35661.78,75,4,2019-05-21,2019-05-21
Aaron Jones,Group Vang,1,1,39259.30,39259.30,60,16,2021-08-22,2021-08-22
Aaron Jones,LLC Thompson,1,1,30173.00,30173.03,79,28,2020-12-11,2020-12-11
Aaron Jones,"Roberts Ortiz Johnson, and",2,1,78297.30,39148.67,42,28,2019-11-03,2019-11-03
Aaron Kim,and Sons Ferguson,1,1,38253.30,38253.29,46,24,2022-01-27,2022-01-27
Aaron Kim,"Carter, Roberson Coleman and",1,1,21377.00,21376.99,25,24,2019-08-18,2019-08-18
Aaron King,"and Vazquez Arias Chan,",1,1,30992.10,30992.07,41,9,2022-09-08,2022-09-08
Aaron King,Group Anderson,1,1,11857.80,11857.85,46,19,2022-05-03,2022-05-03
Aaron Lee,Potts-Walker,2,1,80874.50,40437.26,51,4,2022-07-18,2022-07-18
Aaron Li,Johnson-Gonzalez,1,1,43372.20,43372.24,44,14,2021-04-12,2021-04-12
Aaron Lopez,"Miller and Bullock Leonard,",2,1,76520.80,38260.42,38,29,2023-09-20,2023-09-20
Aaron Manning,"and English Sanders, Wilcox",2,1,96827.50,48413.77,40,20,2024-01-19,2024-01-19
Aaron Martin,Hansen-Oliver,1,1,16740.40,16740.39,53,2,2020-09-29,2020-09-29
Aaron Martin,Raymond Ltd,1,1,22211.20,22211.15,48,1,2021-11-02,2021-11-02
Aaron Martin MD,"Hansen Diaz Cox, and",1,1,44943.20,44943.23,23,27,2020-09-13,2020-09-13
Aaron Martinez,"and Davenport Riley, Edwards",1,1,21887.20,21887.16,68,1,2019-08-23,2019-08-23
Aaron Martinez,Lewis LLC,1,1,25536.60,25536.57,36,18,2022-07-30,2022-07-30
Aaron Maxwell,Group Fisher,1,1,46146.70,46146.67,45,18,2019-05-10,2019-05-10
Aaron Mcdonald,Hurst-Sanchez,1,1,11564.60,11564.57,65,23,2019-05-28,2019-05-28
Aaron Mcdowell,Schwartz PLC,1,1,18620.40,18620.38,68,15,2022-08-31,2022-08-31
Aaron Mcmillan,Hoffman-Allen,1,1,30869.50,30869.51,53,21,2022-05-07,2022-05-07
Aaron Mendoza,Allen-Austin,1,1,16253.40,16253.36,75,6,2023-04-28,2023-04-28
Aaron Meyers,Larson-Fitzgerald,1,1,8715.37,8715.37,44,27,2023-05-12,2023-05-12
Aaron Miller,Berg-Cooper,1,1,10343.30,10343.27,36,19,2020-03-16,2020-03-16
Aaron Miller,"Wallace and Owens, Warner",1,1,45109.40,45109.39,28,6,2024-01-14,2024-01-14
Aaron Mitchell,Richards-Lucas,2,1,86233.40,43116.72,80,28,2020-01-30,2020-01-30
Aaron Moody,PLC Frazier,1,1,15434.40,15434.40,69,14,2021-03-29,2021-03-29
Aaron Moore,Hall LLC,1,1,19082.00,19081.96,57,21,2021-07-11,2021-07-11
Aaron Moreno,"Townsend and Brown Kennedy,",1,1,22115.30,22115.27,73,30,2019-06-23,2019-06-23
Aaron Morgan,King-Brown,1,1,22050.20,22050.25,23,6,2020-02-08,2020-02-08
Aaron Morrow,Nelson-Hall,1,1,33506.40,33506.35,47,17,2023-05-24,2023-05-24
Aaron Murphy,Curtis-Hurley,1,1,17233.60,17233.57,60,17,2021-04-28,2021-04-28
Aaron Murray,"Jones Martin, Blackburn and",1,1,15492.50,15492.45,65,17,2020-06-03,2020-06-03
Aaron Myers,Henderson LLC,1,1,1832.17,1832.17,73,20,2022-10-04,2022-10-04
Aaron Neal,Melton PLC,1,1,28346.90,28346.88,37,30,2022-01-26,2022-01-26
Aaron Nguyen,Smith-Oliver,1,1,40791.50,40791.52,35,24,2020-01-11,2020-01-11
Aaron Pace,Clark-Rivers,1,1,41982.10,41982.11,66,7,2023-01-05,2023-01-05
Aaron Park,"Rodriguez Barnes, and Ballard",1,1,28004.10,28004.11,27,4,2023-04-12,2023-04-12
Aaron Paul,LLC Peters,1,1,32843.80,32843.82,55,18,2023-12-04,2023-12-04
Aaron Perez,"and Dougherty Sweeney White,",1,1,32550.80,32550.84,26,26,2021-04-09,2021-04-09
Aaron Perez,PLC Smith,1,1,13848.40,13848.44,60,18,2023-01-15,2023-01-15
Aaron Perez,Rodriguez-Goodman,1,1,6730.53,6730.53,35,28,2020-06-27,2020-06-27
Aaron Perry,Snyder-Quinn,1,1,18289.70,18289.65,25,21,2024-04-03,2024-04-03
Aaron Pham,Middleton Group,1,1,47639.40,47639.43,22,19,2023-07-07,2023-07-07
Aaron Pierce,Ltd Cochran,2,1,79759.30,39879.67,37,7,2023-09-20,2023-09-20
Aaron Price,Ltd Knight,1,1,43471.70,43471.71,68,7,2022-05-02,2022-05-02
Aaron Ramirez,Nelson LLC,1,1,28568.20,28568.20,45,22,2021-08-19,2021-08-19
Aaron Rivera,Montgomery-Martin,1,1,26775.50,26775.50,75,8,2020-11-06,2020-11-06
Aaron Roberts,"Johnson, Gordon Walls and",1,1,11718.30,11718.34,56,12,2021-12-06,2021-12-06
Aaron Robertson,"Williams Cherry Lopez, and",1,1,5984.54,5984.54,26,10,2021-01-11,2021-01-11
Aaron Rodriguez,Ltd Alexander,1,1,43434.40,43434.42,18,18,2021-03-09,2021-03-09
Aaron Rogers,Mcmillan-Gonzales,1,1,8211.89,8211.89,45,27,2020-09-28,2020-09-28
Aaron Ross,"and Bowman, Brown White",1,1,45604.10,45604.06,64,27,2023-07-07,2023-07-07
Aaron Russo,Perez-Morgan,1,1,4968.45,4968.45,85,29,2022-11-28,2022-11-28
Aaron Ryan,Hamilton-Dudley,1,1,19523.80,19523.85,55,27,2020-01-08,2020-01-08
Aaron Sanchez,Roberts Sons and,2,1,1120.76,560.38,73,22,2022-09-11,2022-09-11
Aaron Schmidt,Brooks-Marks,1,1,26572.90,26572.92,19,27,2021-03-07,2021-03-07
Aaron Smith,Booker-Ayala,1,1,8676.76,8676.76,25,24,2023-07-13,2023-07-13
Aaron Smith,Wheeler-Krause,1,1,4644.96,4644.96,43,5,2023-04-14,2023-04-14
Aaron Snyder,Pope-Miles,1,1,12253.70,12253.74,18,10,2023-02-14,2023-02-14
Aaron Solis,Ltd Olson,1,1,32836.20,32836.24,63,25,2022-08-25,2022-08-25
Aaron Spencer,Hayes-Gibson,1,1,34363.10,34363.10,42,12,2020-04-18,2020-04-18
Aaron Stanley,"Maldonado Stein, Knapp and",1,1,19799.30,19799.30,53,20,2021-09-28,2021-09-28
Aaron Swanson,Inc Patterson,1,1,46579.70,46579.72,85,28,2022-03-29,2022-03-29
Aaron Taylor,Ray-Lopez,1,1,37277.40,37277.45,32,9,2021-01-19,2021-01-19
Aaron Thomas,"and James, Browning Mooney",2,1,33073.40,16536.69,75,9,2022-01-30,2022-01-30
Aaron Thompson,Burton PLC,1,1,9141.64,9141.64,33,19,2020-05-16,2020-05-16
Aaron Turner,Fuller and Sons,2,1,68438.10,34219.07,65,30,2019-11-24,2019-11-24
Aaron Turner,Johnson PLC,2,1,9589.50,4794.75,46,28,2019-05-13,2019-05-13
Aaron Vasquez,Glass-Jones,1,1,28670.20,28670.18,74,5,2019-10-09,2019-10-09
Aaron Walker,Rose Ltd,1,1,46033.80,46033.79,80,20,2022-07-28,2022-07-28
Aaron Walker,Sons Lam and,1,1,29083.30,29083.34,50,14,2022-06-29,2022-06-29
Aaron Washington,Short LLC,1,1,38759.60,38759.56,80,22,2023-12-02,2023-12-02
Aaron Watkins,Carey-Adams,1,1,4911.14,4911.14,67,20,2019-09-09,2019-09-09
Aaron Watson,Perry-Dunlap,1,1,6944.61,6944.61,21,23,2022-06-09,2022-06-09
Aaron Webb,Mason-Carroll,1,1,32687.10,32687.10,30,13,2022-04-14,2022-04-14
Aaron White,Flores-Mckay,1,1,9525.45,9525.45,27,3,2021-02-05,2021-02-05
Aaron White,Scott-Hall,1,1,11405.50,11405.49,46,15,2022-01-17,2022-01-17
Aaron White,Trujillo-Hickman,1,1,43115.20,43115.19,25,9,2024-01-08,2024-01-08
Aaron Wiggins,Sons and Brooks,1,1,14509.20,14509.25,34,2,2020-02-22,2020-02-22
Aaron Williams,Ltd Cohen,1,1,32546.90,32546.89,41,1,2023-11-03,2023-11-03
Aaron Williams,Wong-Ho,1,1,42819.60,42819.65,35,22,2023-09-08,2023-09-08
Aaron Wong,Owens PLC,2,1,9059.86,4529.93,49,5,2023-08-15,2023-08-15
Aaron Wood,Knight PLC,1,1,45671.90,45671.88,48,6,2020-01-31,2020-01-31
Aaron Wright,"Bruce Park Pham, and",1,1,5471.98,5471.98,63,17,2022-05-21,2022-05-21
Aaron Yang,"Brown Mccall, and Brandt",1,1,22723.30,22723.29,48,27,2024-02-08,2024-02-08
Abigail Aguirre,"Wheeler Allen, Chavez and",1,1,11357.90,11357.88,34,16,2021-10-09,2021-10-09
Abigail Alvarado,Bryant-Hanna,1,1,24529.90,24529.93,73,23,2020-10-11,2020-10-11
Abigail Armstrong,"Prince and Allen, Brady",1,1,18972.80,18972.78,71,30,2021-09-02,2021-09-02
Abigail Beck,"and Deleon Moore Powers,",1,1,32006.60,32006.62,69,29,2022-11-13,2022-11-13
Abigail Brown,Inc Perry,1,1,29001.60,29001.61,32,15,2023-08-13,2023-08-13
Abigail Bryan,"Chase, and Lane Griffin",1,1,2435.05,2435.05,58,19,2019-05-15,2019-05-15
Abigail Chen,Miles-Lee,1,1,40598.80,40598.75,43,29,2020-08-31,2020-08-31
Abigail Erickson MD,Clark Inc,1,1,28061.00,28060.97,72,22,2020-01-04,2020-01-04
Abigail Ewing,Ltd Harrison,1,1,25352.10,25352.10,23,5,2021-10-21,2021-10-21
Abigail Flores,and Sons Bonilla,1,1,7068.91,7068.91,79,11,2023-10-16,2023-10-16
Abigail Fowler,Davis Inc,2,1,43997.70,21998.83,74,7,2021-05-08,2021-05-08
Abigail Fox,"Yu, Frazier Smith and",1,1,43612.90,43612.95,18,12,2020-08-12,2020-08-12
Abigail Garcia,Holder-Watson,1,1,11935.00,11934.99,42,15,2021-08-28,2021-08-28
Abigail Garza,Smith-Doyle,1,1,18691.60,18691.60,46,23,2020-04-29,2020-04-29
Abigail Gentry,Jones-Griffin,1,1,16912.70,16912.68,60,3,2022-05-08,2022-05-08
Abigail Hardy,"and Ford Horton, Gregory",1,1,13631.90,13631.93,82,9,2020-12-03,2020-12-03
Abigail Holder,Morris-Carr,1,1,19964.50,19964.50,85,10,2021-11-23,2021-11-23
Abigail Johnson,"Steele, Randolph and Lutz",1,1,40982.50,40982.51,49,10,2020-07-19,2020-07-19
Abigail Jones,Group Gutierrez,1,1,33782.30,33782.29,67,14,2020-08-05,2020-08-05
Abigail Kelly,Price LLC,1,1,18321.00,18320.98,33,25,2020-03-28,2020-03-28
Abigail King,"Mills, Johnson Wilson and",1,1,23253.40,23253.40,61,7,2024-03-02,2024-03-02
Abigail Lee,LLC Mckay,1,1,8642.61,8642.61,70,17,2022-12-29,2022-12-29
Abigail Lopez,Kerr-Young,1,1,14511.50,14511.54,80,28,2020-02-14,2020-02-14
Abigail Mack,Bailey-Jones,1,1,27434.10,27434.10,35,5,2024-02-29,2024-02-29
Abigail Martin,Atkinson-Brady,1,1,33610.20,33610.24,18,29,2021-08-05,2021-08-05
Abigail Mathis,"and Howard Carter, Hart",1,1,35843.40,35843.45,71,9,2022-06-18,2022-06-18
Abigail Mccoy,Group Hudson,1,1,31701.10,31701.05,44,10,2022-10-20,2022-10-20
Abigail Nelson,and Thompson Sons,1,1,39342.30,39342.26,57,14,2021-07-01,2021-07-01
Abigail Nelson,Reed-Burgess,1,1,3052.02,3052.02,65,7,2021-09-22,2021-09-22
Abigail Newman,Henderson Inc,1,1,6407.38,6407.38,85,5,2021-10-12,2021-10-12
Abigail Newton,"Watson Baker and Bailey,",1,1,36391.80,36391.78,48,17,2019-06-11,2019-06-11
Abigail Noble,Group Graves,1,1,4051.11,4051.11,42,24,2023-09-28,2023-09-28
Abigail Owen,Johnson-Rojas,1,1,29208.20,29208.23,60,8,2023-04-04,2023-04-04
Abigail Pearson,Wood-Harper,1,1,27288.70,27288.73,24,29,2022-01-14,2022-01-14
Abigail Perez,"and Sims Martin Grant,",1,1,45102.20,45102.20,65,21,2024-01-18,2024-01-18
Abigail Roberson,Russell-Richard,1,1,38960.50,38960.54,65,4,2019-10-20,2019-10-20
Abigail Ross,Ray-Alvarez,2,1,53935.70,26967.85,49,21,2021-08-05,2021-08-05
Abigail Russell,"Dunlap Young and Wilson,",1,1,24104.30,24104.27,73,15,2022-01-16,2022-01-16
Abigail Salas,Jones-Patel,2,1,26621.60,13310.82,83,9,2023-09-01,2023-09-01
Abigail Solomon,Burton-Chambers,1,1,42266.50,42266.51,70,14,2024-02-06,2024-02-06
Abigail Valentine,"Powers, and Reynolds Romero",1,1,13966.00,13966.01,32,7,2019-12-09,2019-12-09
Abigail Vargas,Weaver-Kelley,1,1,17414.10,17414.11,21,19,2021-10-12,2021-10-12
Abigail Walker PhD,Robinson-Washington,1,1,35632.10,35632.06,52,16,2022-02-01,2022-02-01
Abigail Warren,Harmon-Carroll,1,1,37662.90,37662.94,52,20,2021-06-22,2021-06-22
Abigail Washington,"and Vargas Hall, Chapman",1,1,1000.70,1000.70,33,16,2019-10-15,2019-10-15
Abigail White,"and Burgess Bell, Walker",1,1,27505.00,27505.00,42,20,2019-11-06,2019-11-06
Abigail Williams,Brown Ltd,1,1,26588.30,26588.26,66,7,2021-04-04,2021-04-04
Abigail Williams,"Martin, and Robinson Graham",1,1,36671.40,36671.40,28,3,2021-07-25,2021-07-25
Abigail Williams,Mendez-Montoya,2,1,35378.30,17689.15,57,25,2022-05-30,2022-05-30
Abigail Wilson,"and Aguilar Carney, Cohen",1,1,40685.20,40685.18,73,30,2022-06-23,2022-06-23
Abigail Wright,Jackson-Williams,1,1,43686.10,43686.13,54,4,2022-06-19,2022-06-19
Abigail Wright,Mclean-Levy,1,1,9177.02,9177.02,36,6,2021-03-27,2021-03-27
Adam Alexander,"Collins Small, and Crawford",1,1,49339.90,49339.88,22,1,2023-02-11,2023-02-11
Adam Anderson,Butler-Powell,1,1,3933.48,3933.48,49,6,2021-10-10,2021-10-10
Adam Atkins DDS,"and Stevens Nichols, Gardner",2,1,67828.10,33914.05,32,15,2021-11-11,2021-11-11
Adam Avila,PLC Mills,1,1,17937.20,17937.15,74,22,2023-02-18,2023-02-18
Adam Bailey,"and Joseph Thomas, Luna",1,1,2769.93,2769.93,23,18,2022-01-04,2022-01-04
Adam Baker,PLC Rogers,1,1,36055.10,36055.14,22,20,2019-12-13,2019-12-13
Adam Baker,Robinson Inc,1,1,3807.14,3807.14,53,4,2022-08-06,2022-08-06
Adam Becker,Ltd Anderson,1,1,9278.03,9278.03,57,5,2021-08-01,2021-08-01
Adam Bell,"Salas Arnold and Harding,",2,1,51743.40,25871.70,66,4,2023-06-21,2023-06-21
Adam Bentley,Cummings-Johnson,1,1,2693.88,2693.88,26,25,2020-07-22,2020-07-22
Adam Booth,"Ray, Gross and Mccoy",1,1,10227.50,10227.50,23,18,2019-10-22,2019-10-22
Adam Bowers,Galloway-Barnett,2,1,30145.10,15072.57,37,10,2021-05-05,2021-05-05
Adam Bradley,Anderson Group,2,1,79370.80,39685.41,82,18,2021-04-11,2021-04-11
Adam Bradley,Frye Inc,1,1,45982.90,45982.86,62,18,2020-01-07,2020-01-07
Adam Bradley,LLC Johnson,1,1,3312.41,3312.41,85,29,2022-08-17,2022-08-17
Adam Bradshaw,Berry LLC,1,1,4955.11,4955.11,31,12,2023-11-25,2023-11-25
Adam Brady,"Solomon, Smith and Kaiser",1,1,35320.70,35320.66,79,28,2021-02-27,2021-02-27
Adam Brown,Dawson-Wheeler,1,1,48315.00,48314.99,48,9,2021-06-12,2021-06-12
Adam Bryant,"Barnett and Berger Rangel,",1,1,9782.62,9782.62,34,14,2021-10-03,2021-10-03
Adam Buckley,"and Dickerson Terry Sandoval,",1,1,14924.20,14924.23,39,10,2019-06-09,2019-06-09
Adam Burns,Ltd Wilson,2,1,78980.70,39490.34,26,1,2023-07-01,2023-07-01
Adam Campbell,"and Harrell, Sanford Barrett",2,1,32137.30,16068.64,77,13,2019-09-14,2019-09-14
Adam Carpenter,Johnson-Wood,1,1,16202.60,16202.62,58,11,2019-11-25,2019-11-25
Adam Carr,and Sons Wood,1,1,31999.30,31999.30,67,21,2023-04-29,2023-04-29
Adam Chapman,"Thomas and Baker Smith,",1,1,4459.29,4459.29,18,4,2023-12-17,2023-12-17
Adam Christian,LLC Dean,1,1,34328.60,34328.61,49,20,2021-08-21,2021-08-21
Adam Clark,Owens-Wilson,1,1,37365.40,37365.40,75,5,2022-06-25,2022-06-25
Adam Coleman,Turner Group,2,1,98464.90,49232.46,65,2,2024-02-16,2024-02-16
Adam Collins,LLC Hahn,2,1,18691.60,9345.80,71,11,2019-07-20,2019-07-20
Adam Cooper,Wall-Scott,2,1,84643.30,42321.65,61,28,2021-07-27,2021-07-27
Adam Crawford,"Powell, and Khan Olson",1,1,9665.08,9665.08,80,8,2019-08-24,2019-08-24
Adam Curry,Walsh-Jones,1,1,4521.35,4521.35,56,12,2022-10-20,2022-10-20
Adam Dawson,"Gutierrez, and Powers Chapman",1,1,22645.60,22645.63,33,8,2022-07-24,2022-07-24
Adam Downs,"and Smith Johnson, Clayton",1,1,38479.80,38479.76,68,27,2021-09-06,2021-09-06
Adam Duarte,Group Peters,1,1,43514.50,43514.50,34,11,2023-03-17,2023-03-17
Adam Espinoza,Vasquez-Brown,1,1,21689.80,21689.83,55,17,2021-03-03,2021-03-03
Adam Farrell,Inc Nelson,1,1,40108.90,40108.90,55,12,2020-03-08,2020-03-08
Adam Fitzgerald,Wong-Woods,1,1,35645.90,35645.92,50,23,2023-08-07,2023-08-07
Adam Flores,Black Inc,1,1,17390.80,17390.82,70,29,2019-07-27,2019-07-27
Adam Foster,and Sons Wright,1,1,35169.20,35169.21,77,27,2022-08-30,2022-08-30
Adam Fox,"Mathis, Gentry Turner and",1,1,15886.30,15886.27,40,28,2019-08-13,2019-08-13
Adam Frazier,"and Hobbs Jensen Johnson,",1,1,14551.60,14551.56,26,20,2023-02-13,2023-02-13
Adam Freeman,Montgomery-Smith,1,1,40527.50,40527.50,59,3,2021-09-24,2021-09-24
Adam Gallagher,Skinner-Lee,1,1,21774.00,21773.99,54,9,2024-01-17,2024-01-17
Adam Garza,Murray-Irwin,1,1,20580.10,20580.08,50,22,2023-06-30,2023-06-30
Adam Gates,Ltd Thompson,1,1,32371.60,32371.62,67,5,2022-09-02,2022-09-02
Adam Gentry,Daniels Inc,1,1,10582.00,10581.96,32,22,2020-10-20,2020-10-20
Adam Gonzalez,PLC Pierce,1,1,20598.60,20598.56,59,15,2020-07-24,2020-07-24
Adam Gray,"and Rios, Stout Moran",1,1,29248.90,29248.91,44,27,2019-07-08,2019-07-08
Adam Gray,Sims-Castro,1,1,16572.90,16572.90,40,13,2020-03-25,2020-03-25
Adam Green,Rodriguez Inc,2,1,60215.90,30107.94,66,27,2022-09-07,2022-09-07
Adam Griffin,Sims LLC,1,1,12410.90,12410.87,67,3,2024-01-17,2024-01-17
Adam Grimes,"King Austin, and Erickson",1,1,34507.90,34507.94,24,24,2023-09-09,2023-09-09
Adam Hall,"Ward and Casey, Fuller",1,1,3354.36,3354.36,23,4,2021-04-22,2021-04-22
Adam Hardy,Sheppard-Livingston,1,1,28281.30,28281.35,61,17,2024-02-20,2024-02-20
Adam Harper,"and Mendoza Clarke Tucker,",1,1,13168.50,13168.46,83,28,2020-03-15,2020-03-15
Adam Harrell,Mcintosh-Smith,1,1,6758.20,6758.20,50,15,2022-01-23,2022-01-23
Adam Harris,Hunt-Foster,1,1,37594.00,37594.01,80,23,2019-09-26,2019-09-26
Adam Hayes,Ltd Nelson,1,1,9122.69,9122.69,58,5,2021-05-19,2021-05-19
Adam Hayes,Robinson LLC,1,1,11042.50,11042.46,70,22,2021-05-14,2021-05-14
Adam Henry,"and Brown, Clark Hernandez",1,1,45084.10,45084.13,55,10,2020-07-12,2020-07-12
Adam Higgins,Howard-Holloway,1,1,26338.60,26338.55,23,22,2022-10-12,2022-10-12
Adam Horne,Gutierrez-Turner,1,1,29595.80,29595.77,67,19,2023-01-24,2023-01-24
Adam Jackson,Carrillo-Jones,1,1,33726.90,33726.90,68,10,2020-02-24,2020-02-24
Adam Jackson,"Nguyen, and Harris James",1,1,46473.50,46473.53,57,20,2022-02-22,2022-02-22
Adam Jackson,Williams-Bowers,2,1,90036.10,45018.06,51,23,2020-03-11,2020-03-11
Adam Johnson,Inc Colon,1,1,28410.20,28410.15,56,18,2023-09-29,2023-09-29
